Pwf,Rate
3201.692871,0
3625.432129,2000
3733.84668,2000
4230.213867,2000
4550.82959,2000
4292.233398,2000
4149.376465,2000
3998.711914,2000
3900.281006,2000
3842.25708,2000
3789.565674,2000
3764.572021,2000
3744.489014,2000
3717.804199,2000
3685.735107,2000
3657.105225,2000
3632.946045,2000
3596.145752,2000
3563.883057,2000
3534.645264,2000
3507.44751,2000
3479.72168,2000
3452.400879,2000
3422.926025,2000
3392.282959,2000
3362.486572,2000
3329.280029,2000
3326.065674,2000
3322.003662,2000
3315.623047,2000
3306.048096,2000
3296.352295,2000
3278.729248,2000
3260.827148,2000
3225.288574,2000
3187.314941,2000
3147.754639,2000
3107.827637,2000
3064.797607,2000
3021.926025,2000
2980.359863,1910.308105
2940.274658,1830.87207
2905.212402,1766.434937
2867.580811,1704.876831
2832.157715,1654.828125
2797.188721,1607.473267
2764.902832,1565.036255
2732.57959,1524.291626
2701.212646,1486.147705
2671.733643,1451.303345
2642.153076,1417.115356
2614.422363,1385.668335
2587.029297,1355.08606
2561.118408,1326.43103
2538.531006,1301.706055
2514.29834,1275.548218
2491.550293,1251.210693
2468.739258,1227.062256
2447.340332,1204.567017
2425.875,1182.186401
2405.105713,1160.703979
2385.706299,1140.81543
2366.63623,1121.359863
2349.137695,1103.580078
2331.7771,1086.054321
2314.949951,1069.209839
2300.163818,1054.509521
2284.271973,1038.838013
2269.344238,1024.214233
2254.349121,1009.843262
2240.228271,996.4237061
2226.038086,983.0613403
2212.250488,970.1779785
2199.270508,958.1427612
2186.246094,946.1497803
2174.006836,934.9553833
2161.823975,923.8735962
2150.204346,913.3519287
2139.818604,903.9723511
2129.192383,894.3909302
2119.243896,885.4584351
2109.25,876.524353
2099.820801,868.1312256
2090.336914,859.7317505
2081.095703,851.5739136
2072.380127,843.8843384
2063.603516,836.1653442
2055.331055,828.9277954
2047.003784,821.6559448
2038.879395,814.5929565
2031.720459,808.4074097
2023.992798,801.7391357
2016.692017,795.4447632
2009.344482,789.1233521
2002.402466,783.1629639
1995.414551,777.1693726
1988.598145,771.3207397
1982.165161,765.8080444
1975.682373,760.2527466
1969.557739,755.0094604
1963.398438,749.7373657
1957.390381,744.5933838
1952.087036,740.0491333
1946.372314,735.1502075
1941.005005,730.5465698
1935.635254,725.9465332
1930.635254,721.6270752
1925.64624,717.34021
1920.835938,713.1989136
1916.322388,709.3033447
1911.800903,705.3994751
1907.559814,701.7296143
1903.291748,698.031189
1899.138672,694.4192505
1895.458862,691.2032471
1891.476685,687.6951904
1887.699341,684.3439331
1883.888794,680.9476318
1880.268433,677.7091675
1876.612183,674.3983154
1873.025879,671.1437378
1869.634155,668.038208
1866.188843,664.8695679
1862.930664,661.8478394
1859.643311,658.796875
1856.409668,655.770813
1853.442871,652.9839478
1850.335938,650.0457764
1847.394775,647.2542725
1844.405762,644.4089966
1841.59021,641.6983643
1838.722412,638.9398804
1835.926147,636.2317505
1833.258057,633.6314087
1830.569092,630.9866943
1828.012573,628.4733276
1825.418335,625.9088135
